StartDate,EndDate,Which of the following best describes your current relationship status?,"How long have you been in your current relationship? If you are not currently in a relationship, please answer according to your last relationship.","When both you and your partner are at home, how often do you sleep in separate beds?","When you're not sleeping in the same bed as your partner, where do you typically sleep?",,"When you're not sleeping in the same bed, where does your partner typically sleep?",,What are the reasons that you sleep in separate beds? Please select all that apply.,,,,,,,,,,,When was the first time you slept in separate beds?,"To what extent do you agree with the following statement: ""sleeping in separate beds helps us to stay together.""","To what extent do you agree with the following statement: ""we sleep better when we sleep in separate beds.""","To what extent do you agree with the following statement:ë_""our sex life has improved as a result of sleeping in separate beds.""ë_",Which of the following best describes your current occupation?,,Gender,Age,Household Income,Education,Location (Census Region)
7/9/14 18:57,7/9/14 18:58,Married,16-20 years,Never,,,,,,,,,,,,,,,,,,,,"Education, Training, and Library Occupations",,Male,45-60,,Some college or Associate degree,East North Central
7/9/14 18:57,7/9/14 19:00,"Single, but cohabiting with a significant other",1-5 years,Never,,,,,,,,,,,,,,,,,,,,Architecture and Engineering Occupations,,Male,18-29,"$0 - $24,999",Some college or Associate degree,West South Central
7/9/14 18:57,7/9/14 18:58,Married,More than 20 years,Never,,,,,,,,,,,,,,,,,,,,Business and Financial Operations Occupations,,,,,,
7/9/14 18:57,7/9/14 18:58,Married,More than 20 years,Never,,,,,,,,,,,,,,,,,,,,Healthcare Practitioners and Technical Occupations,,Female,45-60,,Some college or Associate degree,East North Central
7/9/14 18:57,7/9/14 19:00,"Single, but cohabiting with a significant other",1-5 years,Once a month or less,On the couch/chair,,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",,One of us snores,,,,,,,,,Night working/very different sleeping times,,Within the first 1-5 years of our relationship,Strongly disagree,Somewhat disagree,Strongly disagree,Personal Care and Service Occupations,,Female,45-60,"$25,000 - $49,999",Some college or Associate degree,Middle Atlantic
7/9/14 18:56,7/9/14 18:57,Married,More than 20 years,Never,,,,,,,,,,,,,,,,,,,,Business and Financial Operations Occupations,,Male,> 60,,Bachelor degree,Middle Atlantic
7/9/14 18:56,7/9/14 18:57,Married,1-5 years,Never,,,,,,,,,,,,,,,,,,,,"Life, Physical, and Social Science Occupations",,Female,18-29,"$25,000 - $49,999",Graduate degree,Mountain
7/9/14 18:56,7/9/14 18:57,Married,11-15 years,Never,,,,,,,,,,,,,,,,,,,,Other (please specify),Product development,,,,,
7/9/14 18:54,7/9/14 18:58,"Single, but cohabiting with a significant other",11-15 years,Every night,Separate bedroom,,Separate bedroom,,,,,,,,,,,Night working/very different sleeping times,,Within the first 1-5 years of our relationship,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Other (please specify),Law enforcement,Female,45-60,"$50,000 - $99,999",Some college or Associate degree,South Atlantic
7/9/14 18:56,7/9/14 18:58,Married,More than 20 years,Never,,,,,,,,,,,,,,,,,,,,Office and Administrative Support Occupations,,Female,45-60,"$100,000 - $149,999",High school degree,East North Central
7/9/14 18:56,7/9/14 18:57,Married,More than 20 years,Never,,,,,,,,,,,,,,,,,,,,Other (please specify),retired,Female,> 60,"$25,000 - $49,999",Graduate degree,Middle Atlantic
7/9/14 18:55,7/9/14 19:00,Married,More than 20 years,Once a year or less,Other (please specify),guest room when visiting out of town,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",,,,,,,,,,,,Other (please specify),Within the first 1-5 years of our relationship,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Sales and Related Occupations,,Female,> 60,"$25,000 - $49,999",High school degree,West North Central
7/9/14 18:55,7/9/14 18:57,In a domestic partnership or civil union,6-10 years,Once a year or less,Separate bedroom,,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",,,,One of us is sick,,,,,,,,,Within the first 1-5 years of our relationship,Somewhat disagree,Somewhat disagree,Strongly disagree,"Life, Physical, and Social Science Occupations",,Female,30-44,,Graduate degree,Pacific
7/9/14 18:55,7/9/14 18:57,Married,More than 20 years,Once a month or less,"I sleep in our shared bed, my partner is the one who sleeps somewhere else",,Separate bedroom,,,,,,,,,,,,Other (please specify),Within 11-15 years of our relationship,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,"Life, Physical, and Social Science Occupations",,Female,30-44,,Graduate degree,Middle Atlantic
7/9/14 18:55,7/9/14 18:57,"Single, but cohabiting with a significant other",6-10 years,Once a year or less,On the couch/chair,,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",,,,,,,We've had an argument or fight,,,,,,Within the first 1-5 years of our relationship,Strongly disagree,Strongly disagree,Strongly disagree,Business and Financial Operations Occupations,,Female,45-60,,Graduate degree,East North Central
7/9/14 18:54,7/9/14 18:58,Married,More than 20 years,Once a year or less,Separate bedroom,,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",,,,One of us is sick,,,,,,,,,Within the first 1-5 years of our relationship,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Computer and Mathematical Occupations,,Male,> 60,,Graduate degree,Mountain
7/9/14 18:55,7/9/14 18:58,In a domestic partnership or civil union,More than 20 years,Once a year or less,On the couch/chair,,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",,,,,,,We've had an argument or fight,,,,,,Within the first 1-5 years of our relationship,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Other (please specify),TEXTILES,Female,30-44,"$25,000 - $49,999",Some college or Associate degree,South Atlantic
7/9/14 18:55,7/9/14 18:56,"Single, but cohabiting with a significant other",1-5 years,Never,,,,,,,,,,,,,,,,,,,,Healthcare Support Occupations,,Female,18-29,,Bachelor degree,Middle Atlantic
7/9/14 18:55,7/9/14 18:56,Married,11-15 years,Never,,,,,,,,,,,,,,,,,,,,Management Occupations,,Male,> 60,"$150,000+",Graduate degree,East North Central
7/9/14 18:55,7/9/14 18:55,Married,11-15 years,Never,,,,,,,,,,,,,,,,,,,,Computer and Mathematical Occupations,,Male,30-44,"$150,000+",Bachelor degree,Middle Atlantic
7/9/14 18:54,7/9/14 18:55,Married,More than 20 years,Never,,,,,,,,,,,,,,,,,,,,"Education, Training, and Library Occupations",,Female,45-60,"$100,000 - $149,999",Graduate degree,Middle Atlantic
7/9/14 18:54,7/9/14 18:57,Married,More than 20 years,A few times per week,Separate bedroom,,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",,,,,,,,,,,Night working/very different sleeping times,,Within 16-20 years of our relationship,Neither agree nor disagree,Somewhat agree,Somewhat agree,Sales and Related Occupations,,Male,> 60,"$100,000 - $149,999",Bachelor degree,East North Central
7/9/14 18:54,7/9/14 18:57,Married,16-20 years,Every night,Separate bedroom,,Separate bedroom,,One of us snores,One of us makes frequent bathroom trips in the night,,,We have different temperature preferences for the room,,,Do not want to share the covers,,,,Immediately/ We've always slept in separate beds,Strongly agree,Strongly agree,Neither agree nor disagree,"Farming, Fishing, and Forestry Occupations",,Female,45-60,"$25,000 - $49,999",Some college or Associate degree,East North Central
7/9/14 18:54,7/9/14 18:56,Married,11-15 years,Never,,,,,,,,,,,,,,,,,,,,Other (please specify),Information Technology,Male,45-60,"$50,000 - $99,999",Bachelor degree,West North Central
7/9/14 18:54,7/9/14 18:54,Married,11-15 years,Never,,,,,,,,,,,,,,,,,,,,Community and Social Service Occupations,,Male,30-44,"$100,000 - $149,999",Bachelor degree,Pacific
7/9/14 18:54,7/9/14 18:56,Married,16-20 years,Once a year or less,"I sleep in our shared bed, my partner is the one who sleeps somewhere else",,On the couch/chair,,,,,,,,,,,,Other (please specify),Within 6-10 years of our relationship,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Office and Administrative Support Occupations,,Female,30-44,,Bachelor degree,Middle Atlantic
7/9/14 18:53,7/9/14 18:55,Married,More than 20 years,Never,,,,,,,,,,,,,,,,,,,,Transportation and Materials Moving Occupations,,Male,45-60,"$100,000 - $149,999",Bachelor degree,Middle Atlantic
7/9/14 18:53,7/9/14 18:55,Married,More than 20 years,Once a month or less,Separate bedroom,,Separate bedroom,,One of us snores,,One of us is sick,,,,,,,Night working/very different sleeping times,,Immediately/ We've always slept in separate beds,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Office and Administrative Support Occupations,,Female,> 60,"$100,000 - $149,999",Graduate degree,Pacific
7/9/14 18:52,7/9/14 18:54,Married,More than 20 years,Never,,,,,,,,,,,,,,,,,,,,Other (please specify),Avocational job-shop (machinist),Male,> 60,,Some college or Associate degree,West South Central
7/9/14 18:53,7/9/14 18:56,Married,16-20 years,Once a year or less,On the couch/chair,,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",,,,One of us is sick,,,,,,,,,Within the first 1-5 years of our relationship,Somewhat disagree,Somewhat disagree,Strongly disagree,Sales and Related Occupations,,Female,45-60,"$50,000 - $99,999",Bachelor degree,East North Central
7/9/14 18:52,7/9/14 18:53,Married,More than 20 years,Never,,,,,,,,,,,,,,,,,,,,Other (please specify),retired,Male,> 60,"$50,000 - $99,999",Bachelor degree,South Atlantic
7/9/14 18:52,7/9/14 18:53,Married,More than 20 years,Never,,,,,,,,,,,,,,,,,,,,Architecture and Engineering Occupations,,Male,45-60,,Bachelor degree,East North Central
7/9/14 18:52,7/9/14 18:53,Married,11-15 years,Never,,,,,,,,,,,,,,,,,,,,Other (please specify),Domestic specialist,Female,30-44,"$0 - $24,999",Bachelor degree,West North Central
7/9/14 18:52,7/9/14 18:53,Married,More than 20 years,Never,,,,,,,,,,,,,,,,,,,,Other (please specify),retired,Male,> 60,"$25,000 - $49,999",Bachelor degree,East North Central
7/9/14 18:52,7/9/14 18:54,Married,More than 20 years,Every night,"I sleep in our shared bed, my partner is the one who sleeps somewhere else",,On the couch/chair,,One of us snores,,,,,,,,,,Other (please specify),After 20 years of our relationship,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,"Education, Training, and Library Occupations",,Female,45-60,"$25,000 - $49,999",Bachelor degree,South Atlantic
7/9/14 18:52,7/9/14 18:52,Married,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/9/14 18:52,7/9/14 18:55,Married,1-5 years,Once a year or less,Other (please specify),I sleep on the living room floor,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",,,,,,We have different temperature preferences for the room,,Not enough space,,,,,Within the first 1-5 years of our relationship,Strongly disagree,Somewhat disagree,Strongly disagree,Healthcare Practitioners and Technical Occupations,,Female,18-29,"$0 - $24,999",Bachelor degree,New England
7/9/14 18:51,7/9/14 18:52,Married,More than 20 years,Never,,,,,,,,,,,,,,,,,,,,Other (please specify),Manufacturing,Male,45-60,"$100,000 - $149,999",Some college or Associate degree,Mountain
7/9/14 18:51,7/9/14 18:53,Married,6-10 years,Once a month or less,Separate bedroom,,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",,,,One of us is sick,,,,,,One of us needs to sleep with a child,,,Within the first 1-5 years of our relationship,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Office and Administrative Support Occupations,,Female,45-60,"$100,000 - $149,999",Some college or Associate degree,West North Central
7/9/14 18:50,7/9/14 18:52,In a domestic partnership or civil union,11-15 years,Never,,,,,,,,,,,,,,,,,,,,"Education, Training, and Library Occupations",,Female,30-44,"$25,000 - $49,999",Some college or Associate degree,Middle Atlantic
7/9/14 18:50,7/9/14 18:51,Married,More than 20 years,Never,,,,,,,,,,,,,,,,,,,,Other (please specify),Retired,Female,> 60,,Some college or Associate degree,New England
7/9/14 18:50,7/9/14 18:52,Married,More than 20 years,Once a month or less,Other (please specify),Out of town,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",,,,,,,,,,,,Other (please specify),Within 6-10 years of our relationship,Strongly disagree,Somewhat disagree,Strongly disagree,Office and Administrative Support Occupations,,Female,45-60,"$50,000 - $99,999",Some college or Associate degree,East North Central
7/9/14 18:50,7/9/14 18:51,In a domestic partnership or civil union,More than 20 years,Never,,,,,,,,,,,,,,,,,,,,"Life, Physical, and Social Science Occupations",,Female,> 60,,,Middle Atlantic
7/9/14 18:50,7/9/14 18:51,Divorced,1-5 years,Never,,,,,,,,,,,,,,,,,,,,Other (please specify),Gas attendant.,Male,> 60,"$0 - $24,999",Some college or Associate degree,Middle Atlantic
7/9/14 18:50,7/9/14 18:53,Married,More than 20 years,Every night,Separate bedroom,,Separate bedroom,,One of us snores,One of us makes frequent bathroom trips in the night,,,,,,,,,,Within 16-20 years of our relationship,Somewhat agree,Somewhat agree,Somewhat agree,Sales and Related Occupations,,Male,> 60,"$25,000 - $49,999",Some college or Associate degree,East North Central
7/9/14 18:50,7/9/14 18:53,Married,More than 20 years,Once a month or less,Separate bedroom,,Separate bedroom,,One of us snores,,One of us is sick,,,,,,,,Other (please specify),After 20 years of our relationship,Neither agree nor disagree,Somewhat agree,Strongly disagree,Healthcare Support Occupations,,Female,> 60,"$100,000 - $149,999",Graduate degree,Middle Atlantic
7/9/14 18:50,7/9/14 18:51,Married,More than 20 years,Never,,,,,,,,,,,,,,,,,,,,"Life, Physical, and Social Science Occupations",,Male,45-60,"$50,000 - $99,999",Bachelor degree,South Atlantic
7/9/14 18:50,7/9/14 18:51,Married,More than 20 years,Never,,,,,,,,,,,,,,,,,,,,Other (please specify),retired,Male,45-60,"$50,000 - $99,999",Some college or Associate degree,Middle Atlantic
7/9/14 18:50,7/9/14 18:50,Married,1-5 years,Never,,,,,,,,,,,,,,,,,,,,Computer and Mathematical Occupations,,Female,18-29,"$100,000 - $149,999",Bachelor degree,South Atlantic
7/9/14 18:50,7/9/14 19:07,Married,16-20 years,A few times per month,"I sleep in our shared bed, my partner is the one who sleeps somewhere else",,Separate bedroom,,,One of us makes frequent bathroom trips in the night,,,,,,,,,,Within 11-15 years of our relationship,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Healthcare Support Occupations,,Male,45-60,"$25,000 - $49,999",Some college or Associate degree,Pacific
7/9/14 18:49,7/9/14 18:52,Married,More than 20 years,Every night,Separate bedroom,,Separate bedroom,,One of us snores,One of us makes frequent bathroom trips in the night,,,,,,,,,,After 20 years of our relationship,Neither agree nor disagree,Strongly agree,Strongly disagree,Other (please specify),retired,Male,> 60,"$50,000 - $99,999",Bachelor degree,Pacific
7/9/14 18:49,7/9/14 18:50,"Single, but cohabiting with a significant other",16-20 years,Never,,,,,,,,,,,,,,,,,,,,Healthcare Practitioners and Technical Occupations,,Female,> 60,"$50,000 - $99,999",Some college or Associate degree,East North Central
7/9/14 18:48,7/9/14 18:51,Married,6-10 years,Once a month or less,"I sleep in our shared bed, my partner is the one who sleeps somewhere else",,On the couch/chair,,One of us snores,,One of us is sick,,,We've had an argument or fight,,,,,,Within the first 1-5 years of our relationship,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,"Installation, Maintenance, and Repair Occupations",,Male,30-44,"$50,000 - $99,999",Some college or Associate degree,New England
7/9/14 18:48,7/9/14 18:51,Married,More than 20 years,Once a month or less,Separate bedroom,,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",,One of us snores,,,,,,,,,Night working/very different sleeping times,,Within the first 1-5 years of our relationship,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Other (please specify),Religious Education,Female,30-44,"$100,000 - $149,999",Graduate degree,East North Central
7/9/14 18:48,7/9/14 18:52,Married,16-20 years,Every night,On the couch/chair,,Separate bedroom,,,,One of us is sick,,,,,,,,,Within the first 1-5 years of our relationship,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Other (please specify),DISBLED,,,,,
7/9/14 18:48,7/9/14 18:49,Married,More than 20 years,Never,,,,,,,,,,,,,,,,,,,,Sales and Related Occupations,,Male,> 60,"$150,000+",Graduate degree,New England
7/9/14 18:48,7/9/14 18:51,Married,More than 20 years,Once a year or less,On the couch/chair,,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",,,,One of us is sick,,,,,,,,,Within 11-15 years of our relationship,Somewhat disagree,Somewhat disagree,Strongly disagree,Other (please specify),Retired,Male,> 60,"$50,000 - $99,999",Bachelor degree,Pacific
7/9/14 18:48,7/9/14 18:49,Married,16-20 years,Never,,,,,,,,,,,,,,,,,,,,Other (please specify),Translator and editor,Female,> 60,,Graduate degree,Middle Atlantic
