person,dept,eow,cause
Police Officer Richard R. Zingler,"Milwaukee Police Department, WI","EOW: Wednesday, February 8, 1933",Cause of Death: Gunfire
Detective John F. Dea,"Denver Police Department, CO","EOW: Saturday, February 11, 1933",Cause of Death: Gunfire
Detective George P. Schneider,"Denver Police Department, CO","EOW: Saturday, February 11, 1933",Cause of Death: Gunfire
Patrolman Francis V. Quinn,"Lynn Police Department, MA","EOW: Thursday, February 16, 1933",Cause of Death: Gunfire
Sheriff Franklin Lee Sproul,"Jeff Davis County Sheriff's Department, TX","EOW: Friday, February 24, 1933",Cause of Death: Gunfire
City Marshal Albert H. Erdman,"Longton Police Department, KS","EOW: Tuesday, February 28, 1933",Cause of Death: Gunfire
Night Marshal M. Anthony Swatta,"West Des Moines Police Department, IA","EOW: Wednesday, March 1, 1933",Cause of Death: Gunfire
Officer Kenneth Knepp,"Akron Police Department, OH","EOW: Friday, March 3, 1933",Cause of Death: Motorcycle accident
Officer First Class Imia Doran Hubbard,"Maryland State Police, MD","EOW: Saturday, March 4, 1933",Cause of Death: Motorcycle accident
Sheriff Charles Clark McKnight,"Grayson County Sheriff's Office, VA","EOW: Sunday, March 5, 1933",Cause of Death: Gunfire
Patrol Inspector Philip D. Strobridge,"United States Department of Labor - Immigration Service - United States Border Patrol, US","EOW: Tuesday, March 7, 1933",Cause of Death: Automobile accident
Patrolman Herman B. Pahler,"Cleveland Police Department, OH","EOW: Wednesday, March 8, 1933",Cause of Death: Gunfire
Special Police Officer Frederick Chicago Porter,"Santa Monica Police Department, CA","EOW: Friday, March 10, 1933",Cause of Death: Aircraft accident
Sergeant Rolland Morton,"Santa Monica Police Department, CA","EOW: Friday, March 10, 1933",Cause of Death: Aircraft accident
Officer Stephen S. Kent,"California Highway Patrol, CA","EOW: Friday, March 10, 1933",Cause of Death: Gunfire
Deputy Sheriff Theopolis Madden,"Knott County Sheriff's Department, KY","EOW: Friday, March 10, 1933",Cause of Death: Gunfire
Officer Ted Davis,"California Highway Patrol, CA","EOW: Saturday, March 11, 1933",Cause of Death: Motorcycle accident
Officer John A. Daroux,"California Highway Patrol, CA","EOW: Sunday, March 12, 1933",Cause of Death: Motorcycle accident
City Marshal Apolonio Pino,"Santa Fe Police Department, NM","EOW: Sunday, March 12, 1933",Cause of Death: Gunfire
Constable George J. Prescott,"Medford Police Department, OR","EOW: Thursday, March 16, 1933",Cause of Death: Gunfire
Patrolman Anthony Gustave,"Plains Township Police Department, PA","EOW: Friday, March 17, 1933",Cause of Death: Motorcycle accident
Officer William Joseph Melton,"Selma Police Department, AL","EOW: Monday, March 20, 1933",Cause of Death: Gunfire
Patrolman George C. Effinger,"Cleveland Police Department, OH","EOW: Monday, March 20, 1933",Cause of Death: Gunfire
Patrolman Roscoe C. Johnston,"Chicago Police Department, IL","EOW: Tuesday, March 21, 1933",Cause of Death: Gunfire
Constable Edward Price,"Titus County Constable's Office - Precinct 8, TX","EOW: Wednesday, March 22, 1933",Cause of Death: Stabbed
Constable Stewart G. Coats,"Forrest County Constable's Office, MS","EOW: Thursday, March 23, 1933",Cause of Death: Gunfire
Officer Federico R. Saenz,"McAllen Police Department, TX","EOW: Sunday, March 26, 1933",Cause of Death: Gunfire
Deputy Sheriff Tom Hood,"Sequoyah County Sheriff's Office, OK","EOW: Monday, March 27, 1933",Cause of Death: Gunfire
Police Officer Michael Erdley,"Westchester County Parkway Police Department, NY","EOW: Thursday, March 30, 1933",Cause of Death: Motorcycle accident
Police Officer Gerow Birdsall,"Ossining Village Police Department, NY","EOW: Thursday, March 30, 1933",Cause of Death: Struck by vehicle
Special Agent William Smith Grubb,"United States Department of Justice - Bureau of Prohibition, US","EOW: Friday, March 31, 1933",Cause of Death: Vehicular assault
Officer John Brubaker,"Miami Police Department, FL","EOW: Friday, March 31, 1933",Cause of Death: Automobile accident
Special Agent Levi Gladstone Trexler,"United States Department of Justice - Bureau of Prohibition, US","EOW: Friday, March 31, 1933",Cause of Death: Vehicle pursuit
Sergeant Walter A. Purcell,"New York State Police, NY","EOW: Friday, March 31, 1933",Cause of Death: Accidental
Detective Lieutenant Lewis Roberts,"Scranton Police Department, PA","EOW: Saturday, April 1, 1933",Cause of Death: Gunfire
Sergeant Charles O. Blanchard,"LaGrange Police Department, IL","EOW: Sunday, April 2, 1933",Cause of Death: Gunfire
"Constable Beverly ""Bev"" Scott","Floyd County Constable's Office, KY","EOW: Sunday, April 2, 1933",Cause of Death: Gunfire
Chief of Police Charles E. Copeland,"Kennewick Police Department, WA","EOW: Sunday, April 2, 1933",Cause of Death: Struck by train
Officer John Buck,"San Jose Police Department, CA","EOW: Wednesday, April 5, 1933",Cause of Death: Gunfire
Deputy Sheriff Charles Ernest Adams,"McLean County Sheriff's Department, IL","EOW: Friday, April 7, 1933",Cause of Death: Gunfire
Deputy Sheriff Grant Neeley,"Natrona County Sheriff's Department, WY","EOW: Friday, April 7, 1933",Cause of Death: Automobile accident
Patrolman Charles August Liddle,"Lyndhurst Police Department, NJ","EOW: Saturday, April 8, 1933",Cause of Death: Vehicle pursuit
Officer Jack E. Marks,"California Highway Patrol, CA","EOW: Tuesday, April 11, 1933",Cause of Death: Motorcycle accident
Special Agent Leonard Agnew Welty,"United States Department of Justice - Bureau of Prohibition, US","EOW: Thursday, April 13, 1933",Cause of Death: Fall
Detective Harry L. McGinnis,"Joplin Police Department, MO","EOW: Thursday, April 13, 1933",Cause of Death: Gunfire
Constable John Wesley Harryman,"Newton County Sheriff's Department, MO","EOW: Thursday, April 13, 1933",Cause of Death: Gunfire
Sergeant Walter R. Grider,"Beverly Hills Police Department, CA","EOW: Friday, April 14, 1933",Cause of Death: Gunfire (Accidental)
Police Officer Carl Strom,"Sedro-Woolley Police Department, WA","EOW: Saturday, April 15, 1933",Cause of Death: Gunfire
Special Agent Leroy Richard Wood,"United States Department of Justice - Bureau of Prohibition, US","EOW: Sunday, April 16, 1933",Cause of Death: Gunfire
Captain James L. Daniels,"New Orleans Police Department, LA","EOW: Sunday, April 16, 1933",Cause of Death: Automobile accident
Patrolman Arthur D. Mutter,"Chicago Police Department, IL","EOW: Tuesday, April 18, 1933",Cause of Death: Gunfire
Chief of Police Clyde Franklin Davis,"Malvern Police Department, AR","EOW: Friday, April 21, 1933",Cause of Death: Gunfire
Police Officer John R. J. Block,"Baltimore City Police Department, MD","EOW: Friday, April 21, 1933",Cause of Death: Gunfire
Patrolman Noah Franklin Harrison,"North Platte Police Department, NE","EOW: Friday, April 21, 1933",Cause of Death: Gunfire
Deputy Sheriff Floyd Winningham,"Pickett County Sheriff's Department, TN","EOW: Saturday, April 22, 1933",Cause of Death: Gunfire
Detective Henry C. Morrison,"Tulsa Police Department, OK","EOW: Sunday, April 23, 1933",Cause of Death: Gunfire
Sheriff George Winningham,"Pickett County Sheriff's Department, TN","EOW: Sunday, April 23, 1933",Cause of Death: Gunfire
Patrolman Leslie Lee Potts,"Malvern Police Department, AR","EOW: Thursday, April 27, 1933",Cause of Death: Gunfire
Patrolman Stanley J. Lutke,"Chicago Police Department, IL","EOW: Sunday, April 30, 1933",Cause of Death: Gunfire
Constable Rosie Lee Smith,"Limestone County Constable's Office - Precinct 5, TX","EOW: Sunday, April 30, 1933",Cause of Death: Stabbed
Officer J. Thomas Watts,"Jacksonville Police Department, FL","EOW: Friday, May 5, 1933",Cause of Death: Gunfire
Deputy Sheriff Reuben Blackman,"Lincoln County Sheriff's Department, ME","EOW: Friday, May 5, 1933",Cause of Death: Gunfire
"Deputy Sheriff Lamar L. Knight, Sr.","St. Johns County Sheriff's Office, FL","EOW: Sunday, May 7, 1933",Cause of Death: Gunfire
Deputy Sheriff Frank S. Quigley,"St. Johns County Sheriff's Office, FL","EOW: Sunday, May 7, 1933",Cause of Death: Gunfire
Marshal J. Gordon Anderson,"Hammond Police Department, LA","EOW: Saturday, May 13, 1933",Cause of Death: Gunfire
Game Warden Jean Baptiste Jalbert,"Maine Department of Inland Fisheries and Wildlife - Warden Service, ME","EOW: Saturday, May 13, 1933",Cause of Death: Drowned
Night Police Chief Charles Marrion Bruce,"McPherson Police Department, KS","EOW: Sunday, May 14, 1933",Cause of Death: Gunfire
Patrolman Thomas G. Caniff,"Greenfield Police Department, OH","EOW: Monday, May 15, 1933",Cause of Death: Gunfire
Sergeant Chester J. Tullos,"Mississippi Department of Corrections, MS","EOW: Thursday, May 18, 1933",Cause of Death: Gunfire
Officer Frank A. Pike,"St. Petersburg Police Department, FL","EOW: Friday, May 19, 1933",Cause of Death: Automobile accident
Policeman Dave Reese,"Jerome Police Department, AZ","EOW: Monday, May 22, 1933",Cause of Death: Gunfire
Officer John Harold Beasley,"Oklahoma City Police Department, OK","EOW: Monday, May 22, 1933",Cause of Death: Gunfire
Police Officer Barney Fox,"Detroit Police Department, MI","EOW: Thursday, May 25, 1933",Cause of Death: Gunfire
"Patrolman Charles E. Farkas, Sr.","South Bend Police Department, IN","EOW: Saturday, May 27, 1933",Cause of Death: Gunfire
Patrolman Delbert Thompson,"South Bend Police Department, IN","EOW: Saturday, May 27, 1933",Cause of Death: Gunfire
Trooper Richard Groja,"Illinois State Police, IL","EOW: Sunday, May 28, 1933",Cause of Death: Motorcycle accident
Deputy Sheriff Morgan Pelfrey,"Breathitt County Sheriff's Office, KY","EOW: Sunday, May 28, 1933",Cause of Death: Gunfire
Sergeant Frederick H. Rabe,"Rensselaer Police Department, NY","EOW: Monday, May 29, 1933",Cause of Death: Gunfire
City Marshal Frank Schroth,"Ripley Police Department, OH","EOW: Tuesday, May 30, 1933",Cause of Death: Gunfire
Night Policeman Otto Laduke Durkee,"Chetopa Police Department, KS","EOW: Wednesday, May 31, 1933",Cause of Death: Gunfire
Officer James Rayburn Grayson,"North Wilkesboro Police Department, NC","EOW: Thursday, June 1, 1933",Cause of Death: Gunfire
Patrolman John Davenport Cunningham,"South Carolina Highway Patrol, SC","EOW: Thursday, June 1, 1933",Cause of Death: Motorcycle accident
Officer Albert Bernard Fredrickson,"Galveston Police Department, TX","EOW: Friday, June 2, 1933",Cause of Death: Motorcycle accident
Officer Ernest James May,"Las Vegas Police Department, NV","EOW: Thursday, June 8, 1933",Cause of Death: Gunfire
Detective Roland A. Gill,"Durham Police Department, NC","EOW: Saturday, June 10, 1933",Cause of Death: Gunfire
Deputy Sheriff James Marshall,"Breathitt County Sheriff's Office, KY","EOW: Monday, June 12, 1933",Cause of Death: Gunfire
Sergeant Benjamin Oliver Booth,"Missouri State Highway Patrol, MO","EOW: Wednesday, June 14, 1933",Cause of Death: Gunfire
Sheriff Roger Isaac Wilson,"Boone County Sheriff's Department, MO","EOW: Wednesday, June 14, 1933",Cause of Death: Gunfire
Deputy Sheriff John H. Lamkin,"Nolan County Sheriff's Department, TX","EOW: Thursday, June 15, 1933",Cause of Death: Gunfire
Detective Louis Moore,"Philadelphia Police Department, PA","EOW: Friday, June 16, 1933",Cause of Death: Assault
Police Officer Mathew Weiss,"St. Paul Police Department, MN","EOW: Saturday, June 17, 1933",Cause of Death: Automobile accident
Detective Frank E. Hermanson,"Kansas City Police Department, MO","EOW: Saturday, June 17, 1933",Cause of Death: Gunfire
Detective William J. Grooms,"Kansas City Police Department, MO","EOW: Saturday, June 17, 1933",Cause of Death: Gunfire
Special Agent Raymond J. Caffrey,"United States Department of Justice - Federal Bureau of Investigation, US","EOW: Saturday, June 17, 1933",Cause of Death: Gunfire
Chief of Police Otto H. Reed,"McAlester Police Department, OK","EOW: Saturday, June 17, 1933",Cause of Death: Gunfire
Officer Jay Wesley Wilson,"Lafayette Police Department, IN","EOW: Sunday, June 18, 1933",Cause of Death: Gunfire
Patrolman Webb S. Hersperger,"Montgomery County Police Department, MD","EOW: Sunday, June 18, 1933",Cause of Death: Motorcycle accident
Sergeant Homer J. Harrison,"New York State Police, NY","EOW: Monday, June 19, 1933",Cause of Death: Drowned
Deputy Sheriff Leonard Fleet Stuart,"Falls County Sheriff's Department, TX","EOW: Monday, June 19, 1933",Cause of Death: Gunfire
Patrolman Oscar E. Brosseau,"Chicago Police Department, IL","EOW: Tuesday, June 20, 1933",Cause of Death: Assault
Deputy Constable John Pollock,"Tarrant County Constable's Office - Precinct 8, TX","EOW: Tuesday, June 20, 1933",Cause of Death: Stabbed
Special Agent Harry Hampton Elliott,"United States Department of Justice - Bureau of Prohibition, US","EOW: Thursday, June 22, 1933",Cause of Death: Gunfire
Police Officer Edward C. Sampson,"Detroit Police Department, MI","EOW: Saturday, June 24, 1933",Cause of Death: Vehicle pursuit
Town Marshal Henry D. Humphrey,"Alma Police Department, AR","EOW: Monday, June 26, 1933",Cause of Death: Gunfire
Officer Sam Griffin Lanford,"Dallas Police Department, TX","EOW: Thursday, June 29, 1933",Cause of Death: Gunfire
Officer Charles Sleigh Carlisle,"Wichita Falls Police Department, TX","EOW: Thursday, June 29, 1933",Cause of Death: Gunfire
Policeman Charlie W. Howard,"Corbin Police Department, KY","EOW: Friday, June 30, 1933",Cause of Death: Gunfire
Chief William J. Thornhill,"Suffern Police Department, NY","EOW: Friday, June 30, 1933",Cause of Death: Vehicle pursuit
Private Burrell Milo Baucom,"Oregon State Police, OR","EOW: Saturday, July 1, 1933",Cause of Death: Gunfire
Patrolman Thomas O'Malley,"Scranton Police Department, PA","EOW: Saturday, July 1, 1933",Cause of Death: Gunfire
Patrolman Harry J. Redlich,"Chicago Police Department, IL","EOW: Saturday, July 8, 1933",Cause of Death: Gunfire
Conservation Officer John Linklater,"Minnesota Department of Natural Resources - Enforcement Division, MN","EOW: Saturday, July 8, 1933",Cause of Death: Drowned
Special Agent Paul Albro Read,"United States Department of Justice - Bureau of Prohibition, US","EOW: Wednesday, July 12, 1933",Cause of Death: Gunfire
Policeman Charles H. Stockberger,"Philadelphia Police Department, PA","EOW: Friday, July 14, 1933",Cause of Death: Gunfire
Deputy Sheriff Bernard F. Leonard,"Chaves County Sheriff's Department, NM","EOW: Sunday, July 16, 1933",Cause of Death: Gunfire
Chief Deputy Sheriff Thomas W. Jones,"Lincoln County Sheriff's Department, NM","EOW: Sunday, July 16, 1933",Cause of Death: Gunfire
Marshal William Glerum,"Zeeland Police Department, MI","EOW: Tuesday, July 18, 1933",Cause of Death: Vehicle pursuit
Sheriff Cleve Daugherty,"Anderson County Sheriff's Department, TN","EOW: Wednesday, July 19, 1933",Cause of Death: Gunfire
Patrolman Elmer R. Ostling,"Chicago Police Department, IL","EOW: Saturday, July 22, 1933",Cause of Death: Gunfire
Patrolman John Skopek,"Chicago Police Department, IL","EOW: Saturday, July 22, 1933",Cause of Death: Gunfire
Sergeant Patrick Quinn,"Palisades Interstate Park Police Department - New Jersey Section, NJ","EOW: Saturday, July 22, 1933",Cause of Death: Struck by vehicle
Conservation Warden Edgar L. Alderman,"Wisconsin Department of Natural Resources, WI","EOW: Saturday, July 22, 1933",Cause of Death: Automobile accident
Patrolman John G. Sevick,"Chicago Police Department, IL","EOW: Monday, July 24, 1933",Cause of Death: Gunfire
Officer Urby Joe Thompson,"Waco Police Department, TX","EOW: Monday, July 24, 1933",Cause of Death: Gunfire
Deputy Sheriff Roy L. Shamblin,"Kanawha County Sheriff's Department, WV","EOW: Tuesday, July 25, 1933",Cause of Death: Gunfire
Deputy Chief Inspector Robert Anderson Shinn,"New Jersey Department of Motor Vehicles - Highway Patrol, NJ","EOW: Thursday, July 27, 1933",Cause of Death: Automobile accident
Sheriff Willie McKinley Winningham,"Clinton County Sheriff's Department, KY","EOW: Saturday, July 29, 1933",Cause of Death: Gunfire
Sergeant Morris Bigus,"Kansas City Police Department, MO","EOW: Saturday, July 29, 1933",Cause of Death: Gunfire
Deputy Sheriff Billy Meador,"Torrance County Sheriff's Office, NM","EOW: Saturday, July 29, 1933",Cause of Death: Gunfire
Auxiliary Officer Louis John Schuetz,"Lombard Police Department, IL","EOW: Sunday, July 30, 1933",Cause of Death: Gunfire
